	HP301.W9	CML277.W6.1	CML277.W10	IL14H.W10.1	B73.W6	MO17.W7.1	HP301.W12.1	IL14H.W4	IL14H.W6	B73.W8	IL14H.W11.1	CML277.W5	HP301.W10
112949	34	17	15	26	10	31	11	34	7	38	4	10	18
567336	130	170	472	480	153	160	77	75	348	179	156	172	146
567333	45	66	18	25	83	66	71	70	10	77	19	56	27
343242	5	10	2	4	0	3	6	14	0	2	0	0	1
532331	343	881	72	210	170	416	51	352	215	324	5	325	58
946860	5	4	6	6	4	6	3	4	2	2	2	2	11
1081222	4	2	0	0	4	9	3	8	0	1	3	2	0
1049393	513	218	679	342	119	313	282	321	155	264	183	257	253
257270	87	29	62	29	28	57	58	79	10	42	15	34	51
925200	26	19	19	19	10	41	6	30	7	17	2	22	17
758613	127	162	73	60	130	197	71	322	63	139	37	237	50
253167	27	5	13	27	3	22	49	16	0	14	19	9	15
511817	141	39	134	48	26	57	22	36	46	18	15	33	44
945478	739	496	474	782	110	411	169	414	289	654	104	250	207
551109	138	717	83	383	297	474	19	89	265	342	23	114	60
215823	30	128	193	139	32	113	127	60	22	84	29	64	48
215825	125	107	129	274	5	133	330	50	13	108	97	15	89
1048878	880	1177	2702	3381	1222	1165	367	373	1050	770	7170	513	1759
816631	555	363	251	230	265	535	245	449	138	284	103	352	259
223655	18	9	27	26	14	32	71	14	13	9	37	17	27
822571	15	7	12	31	7	5	42	12	0	2	15	4	10
831289	53	50	25	49	69	134	26	108	57	83	14	74	27
325776	7	1	0	3	1	6	1	0	2	2	1	0	1
512397	80	34	40	20	25	59	37	77	19	63	12	30	14
357721	8	2	5	10	7	3	9	5	0	4	2	2	1
304694	16	6	16	2	6	15	4	10	1	17	2	3	14
1053703	14	37	1710	664	292	31	83	109	228	47	99	116	40
564093	48	30	42	11	13	34	14	16	10	32	7	3	11
1020262	9	6	4	18	4	6	18	17	5	3	1	2	12
537115	0	0	0	0	1	1	0	0	0	3	0	0	0
4318042	110	42	60	113	223	143	3	10	56	61	24	1	19
1125708	973	911	344	408	429	871	625	1043	333	520	199	768	349
216350	137	73	118	76	2	67	133	56	19	21	81	7	26
949062	203	180	99	97	112	145	88	319	78	164	20	274	60
816441	85	26	32	30	12	34	44	51	28	15	27	6	20
1078248	19	11	0	12	3	4	12	14	6	2	6	4	1
110321	29	17	28	98	25	68	81	25	17	30	20	41	49
1074625	46	111	23	76	36	92	75	52	59	67	13	94	46
278390	301	156	172	54	32	116	57	113	49	93	50	73	59
567840	143	86	147	467	58	106	212	61	158	95	25	93	191
1084157	151	106	75	138	55	173	243	119	75	112	67	97	130
901893	2	1	10	14	1	1	19	1	2	1	6	2	3
591647	125	60	103	71	12	56	31	41	11	49	11	19	64
888396	150	364	162	156	38	113	78	111	71	69	2670	198	170
142010	188	115	203	124	68	265	72	143	64	132	36	92	140
1032653	172	117	111	81	87	239	104	137	45	102	48	106	92
571363	10	14	44	41	16	8	20	40	2	15	13	13	1
2733662	33	14	15	5	16	10	5	20	10	3	5	4	14
1108830	49	58	32	161	12	69	55	86	39	91	18	84	31
4479100	63	49	10	19	35	92	20	77	17	69	16	44	31
231447	39	32	57	20	7	20	18	11	9	12	10	2	13
368218	145	50	110	108	29	114	139	72	32	63	89	55	70
225379	88	146	391	22	56	165	12	112	20	66	19	63	104
915631	20	19	13	23	14	14	29	59	6	15	12	12	17
138920	14	8	13	12	11	28	15	28	2	12	6	11	13
316335	47	31	20	38	16	59	29	60	10	23	26	25	20
937372	672	770	562	2004	286	706	417	386	1085	568	335	298	506
549557	2	1	2	6	2	3	6	11	0	2	1	5	4
245723	14	3	8	4	4	4	18	8	6	0	7	1	8
679787	18	19	8	9	10	11	7	14	1	30	5	10	9
570407	288	173	153	210	122	273	141	182	61	144	85	146	184
113674	466	176	166	141	81	226	201	271	71	146	80	109	143
1129425	11	8	7	10	5	21	15	5	6	4	6	8	4
992428	9	14	29	48	12	16	190	9	4	6	85	3	30
815305	9	6	18	28	10	20	13	20	8	7	6	17	7
562177	1261	926	283	313	281	1077	67	604	352	550	78	313	171
239185	23	19	23	12	10	4	12	10	2	23	5	2	8
2442916	46	22	26	21	13	36	11	39	14	38	15	17	21
832626	158	260	430	83	18	582	16	40	27	40	108	30	49
100640	1	2	22	47	4	2	47	9	0	5	12	0	8
256335	89	27	48	40	32	62	79	85	11	36	60	19	47
255448	129	93	154	72	57	139	190	128	61	70	121	124	59
960217	165	99	103	124	83	229	252	166	37	113	96	103	89
557974	1	0	0	0	2	0	0	0	1	1	0	0	1
238426	14	43	16	18	57	48	27	48	10	56	12	73	8
3582363	23	15	10	3	11	19	0	13	16	22	1	2	7
775149	423	198	211	245	246	320	104	417	120	341	42	204	118
1060517	156	272	641	482	137	1201	2372	291	1450	2213	4572	98	1533
566578	35	79	552	901	517	2148	3803	231	699	291	1510	67	545
1012668	30	16	15	19	8	27	18	14	8	24	7	4	6
606989	1031	490	445	188	245	610	152	280	323	757	230	514	238
224648	18	4	10	20	3	10	21	5	0	0	13	0	8
809485	1132	1394	740	1211	321	1053	364	1122	566	1242	94	1113	585
185100	22	13	14	13	6	24	9	12	6	2	4	7	14
328081	2	8	4	15	7	18	3	6	11	13	1	3	10
829373	1911	345	432	537	100	1202	215	54	348	484	493	96	757
1107243	791	871	1123	991	448	1142	995	336	455	720	1153	538	1272
709657	54	11	35	32	16	45	43	30	22	39	29	23	22
214791	24	8	14	6	5	17	14	5	3	7	3	7	13
558911	190	67	391	308	63	170	935	77	89	133	673	45	260
4405640	49	40	27	14	22	65	34	40	20	32	16	24	28
539866	461	261	191	298	225	539	117	480	94	444	82	165	175
3581990	42	11	39	41	3	12	11	7	3	5	13	12	32
527397	4173	2498	4105	1640	514	2691	1401	1021	509	2314	314	504	886
873887	227	77	155	212	64	319	268	193	66	134	86	127	145
915265	759	1714	1161	2150	318	1963	374	354	408	510	374	537	1384
532139	32	4	11	36	0	1	17	13	0	21	5	5	10
833317	73	67	37	64	32	86	157	71	22	49	56	54	33
1009440	13	16	21	20	16	21	45	34	10	16	24	19	20
4447718	46	20	40	59	1	10	29	19	8	10	21	6	20
338140	2	1	1	2	15	1	0	0	2	1	0	6	3
765871	138	84	98	75	75	127	62	149	60	87	27	72	52
4345857	120	300	77	73	4	261	8	34	20	80	14	29	56
896276	23	28	8	19	19	26	3	28	54	22	2	12	7
4370738	230	134	143	57	15	101	2	21	23	43	3	14	103
254346	99	42	78	48	67	125	120	97	23	64	54	63	50
269875	96	40	75	49	39	142	27	19	2	88	4	3	28
909170	77	261	15	94	45	165	35	141	113	85	8	344	26
1017063	24	26	27	44	17	22	48	12	7	11	40	17	11
558264	12	8	0	10	9	19	21	34	75	8	0	1	4
242284	25	2	27	17	0	2	65	4	0	3	22	3	8
415661	4	3	5	43	3	0	30	8	0	1	3	7	6
4359497	28	4	12	19	8	25	33	23	9	16	8	22	17
113004	134	33	94	50	37	77	40	76	38	37	49	24	57
1081489	40	30	29	14	9	38	4	14	7	54	8	1	7
852162	2	3	4	8	3	9	3	9	3	2	7	2	7
4342317	22	19	56	49	15	67	98	22	9	28	60	2	34
539336	26	14	15	14	19	14	10	14	4	5	4	3	15
627435	13	48	14	10	20	32	13	12	1	9	3	2	8
587540	53	19	25	19	10	22	25	28	4	15	10	12	15
4439482	4	1	0	0	0	1	0	0	0	1	0	0	0
226240	82	191	111	277	41	225	46	27	40	87	50	49	107
303643	68	5	102	205	5	11	100	28	9	20	60	9	48
584598	26	14	9	38	22	31	47	31	5	35	16	5	15
772651	184	66	72	105	69	91	65	95	35	66	26	53	45
794280	51	19	54	3	5	26	33	19	11	9	6	12	28
997544	38	73	25	76	37	67	171	116	21	30	141	65	35
824675	99	36	177	203	24	54	234	103	27	31	192	39	85
1081815	235	282	196	146	263	814	585	321	213	290	145	198	211
819681	17	21	15	13	13	28	13	15	13	14	6	8	14
544772	543	478	229	206	199	660	25	328	320	267	17	334	88
732609	18	23	0	1	1	13	3	1	10	44	6	8	4
236466	285	201	191	130	178	467	77	127	132	342	134	135	186
100737	6	6	38	42	4	8	6	7	3	3	14	1	5
952082	52	143	59	6	85	76	12	67	45	20	0	25	22
568461	17	1	16	31	9	11	83	11	7	7	34	6	25
723100	27	9	21	20	6	15	22	10	8	6	16	5	7
812105	5	2	7	7	0	3	9	5	2	2	8	0	3
561452	26	19	14	10	21	48	11	37	12	32	13	15	7
945733	44	34	130	115	2	33	70	60	80	22	58	35	45
329490	1169	61	1288	851	19	221	78	24	93	74	695	18	796
620224	37	107	20	25	157	147	15	127	38	68	21	44	32
778795	277	163	136	118	177	265	118	217	39	229	41	165	99
1110836	833	690	560	851	89	378	264	379	261	455	170	322	257
240506	41	12	30	17	12	41	50	31	10	37	14	13	14
832619	162	55	105	123	31	107	127	87	25	68	57	31	51
139405	73	41	42	66	15	75	45	47	29	38	4	40	28
1112326	5	7	9	12	1	13	9	12	3	2	6	3	3
778968	43	6	54	30	0	14	6	4	10	9	8	1	57
1125248	12	6	113	56	2	4	83	0	3	5	52	6	52
137916	16	5	15	6	15	32	5	17	5	20	5	14	14
4401982	25	28	33	44	12	25	109	16	8	14	27	15	21
750320	12	47	10	14	39	145	39	103	44	43	4	32	10
185950	102	393	31	29	138	265	10	315	187	197	1	177	32
917888	31	30	480	149	59	111	6	56	85	61	185	7	109
256569	15	54	9	15	9	56	17	54	17	32	2	2	9
235541	133	101	140	110	48	110	105	79	14	73	68	52	155
937954	237	727	64	435	206	295	127	599	313	352	28	1626	71
78422	1826	176	723	202	41	248	53	98	54	146	255	54	430
688259	48	34	22	14	18	39	44	34	55	34	7	16	14
237703	6	2	6	9	3	8	12	7	6	8	5	3	2
1640195	13	4	15	17	6	10	8	14	25	4	7	6	4
319944	7	0	6	3	1	3	39	5	0	3	7	0	4
554390	73	217	72	237	44	156	84	107	64	52	11	68	63
1044436	623	557	269	328	573	712	451	812	153	399	262	438	298
1072787	515	559	229	397	434	478	611	462	276	653	137	555	205
576653	10	2	7	2	2	6	4	0	1	0	0	7	1
570552	79	23	73	40	12	101	42	30	24	91	33	23	48
1053194	85	19	70	118	6	55	103	42	4	166	10	11	18
674370	299	243	132	135	88	204	28	142	74	178	7	158	46
339660	17	6	19	28	8	5	1	6	3	4	10	4	5
4300564	171	319	121	154	129	147	29	48	173	183	23	46	20
960076	4	216	18	38	89	72	24	65	177	154	1	52	10
562311	222	89	70	81	86	178	159	182	42	122	54	104	95
2946783	110	20	28	81	19	30	65	111	17	47	16	34	32
817349	86	52	21	112	21	52	18	80	21	221	8	42	25
586320	73	9	45	85	8	13	51	25	11	9	31	14	24
546371	201	126	139	113	108	241	170	137	41	86	106	129	118
254392	162	119	153	242	86	171	296	220	48	166	89	137	97
216925	80	129	30	18	73	91	128	132	24	70	36	69	55
809189	61	25	51	63	19	47	289	55	7	29	108	43	28
792574	58	18	21	14	15	27	6	12	3	11	14	5	23
