experiment n.,Input transform,Output transform,Reconstruction Loss,Latent Space,Bioma Autoencoder,Domain Autoencoder,Activation Encoder,Activation Decoder,Activation Latent,CV folds,Epochs,Batch Size,Learning Rate Scheduler,Learning Rate,Optimizer,best_lost_epoch,loss,loss_min,loss_max,bioma_loss,bioma_loss_min,bioma_loss_max,domain_loss,domain_loss_min,domain_loss_max,latent_loss,latent_loss_min,latent_loss_max,bioma_mse,bioma_mse_min,bioma_mse_max,bioma_mae,bioma_mae_min,bioma_mae_max,bioma_mape,bioma_mape_min,bioma_mape_max,bioma_BrayCurtis,bioma_BrayCurtis_min,bioma_BrayCurtis_max,bioma_pearson_corr,bioma_pearson_corr_min,bioma_pearson_corr_max,bioma_jensen_shannon_divergence,bioma_jensen_shannon_divergence_min,bioma_jensen_shannon_divergence_max,domain_mse,domain_mse_min,domain_mse_max,domain_mae,domain_mae_min,domain_mae_max,domain_mape,domain_mape_min,domain_mape_max,domain_BrayCurtis,domain_BrayCurtis_min,domain_BrayCurtis_max,domain_pearson_corr,domain_pearson_corr_min,domain_pearson_corr_max,domain_jensen_shannon_divergence,domain_jensen_shannon_divergence_min,domain_jensen_shannon_divergence_max,latent_mae,latent_mae_min,latent_mae_max
56,none,ReLU,MeanSquaredError,10,b -> 10 -> b,d -> 10 -> b,tanh,tanh,tanh,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,831789.4303571429,702691.1071428572,1053487.7589285714,415912.0625,351344.09375,526786.0,415877.0625,351346.96875,526701.8125,0.2708960175514221,0.029003428295254707,0.8116321563720703,414150.40625,348840.28125,516852.9375,32.378753662109375,31.126018524169922,33.98064041137695,22466.00390625,20356.103515625,24157.4140625,0.6048460006713867,0.5852863192558289,0.6242868900299072,0.3584313988685608,0.30124834179878235,0.3957219421863556,1.9581098556518555,1.8041561841964722,2.089423179626465,414116.3125,348844.0625,516770.96875,32.617881774902344,31.36319923400879,34.418983459472656,22476.150390625,20505.6640625,24164.783203125,0.6048270463943481,0.5875258445739746,0.6242476105690002,0.36025485396385193,0.3015404939651489,0.3951185941696167,1.905383825302124,1.771914005279541,2.0538125038146973,0.26969704031944275,0.0272598247975111,0.8117336630821228
57,none,ReLU,MeanSquaredError,50,b -> 512 -> 256 -> 50 -> 256 -> 512 -> b,d -> 32 -> 16 -> 50 -> 256 -> 512 -> b,tanh,tanh,tanh,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,697465.1321428571,573485.5,884090.3214285715,348732.4375,286742.5625,442045.09375,348732.4375,286742.5625,442045.09375,0.23982968926429749,0.0467708595097065,0.415659636259079,347220.09375,284761.625,433423.0625,35.02960205078125,34.000728607177734,36.710662841796875,11862.32421875,9734.953125,14656.9013671875,0.5328758955001831,0.5260498523712158,0.538472056388855,0.5624791383743286,0.5483092665672302,0.5752258896827698,1.491070032119751,1.3633687496185303,1.5935732126235962,347220.09375,284761.625,433423.0625,35.02960205078125,34.000728607177734,36.710662841796875,11862.32421875,9734.953125,14656.9013671875,0.5328758955001831,0.5260498523712158,0.538472056388855,0.5624791383743286,0.5483092665672302,0.5752258896827698,1.491070032119751,1.3633687496185303,1.5935732126235962,0.23971667885780334,0.0467691496014595,0.41507068276405334
58,none,ReLU,MeanSquaredError,50,b -> 256 -> 50 -> 256 -> b,d -> 16 -> 50 -> 256 -> b,tanh,tanh,tanh,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,743838.2535714286,611261.0178571428,945051.5535714285,371343.625,303030.6875,472440.78125,372494.1875,308229.59375,472610.1875,0.43150004744529724,0.1008017286658287,0.7312323451042175,369703.1875,300778.3125,463184.0,33.581424713134766,30.784658432006836,35.80369186401367,14909.2939453125,13326.0625,16723.34375,0.5261481404304504,0.49042338132858276,0.5420832633972168,0.5864187479019165,0.5569021701812744,0.6758635640144348,1.359039068222046,1.1930898427963257,1.4627901315689087,370844.3125,305945.125,463334.46875,34.24138641357422,33.17020034790039,36.05634307861328,14734.501953125,13750.5390625,16445.458984375,0.5352236032485962,0.5276688933372498,0.541715145111084,0.5600677728652954,0.5427488088607788,0.570751428604126,1.357564926147461,1.2926143407821655,1.4207979440689087,0.42970219254493713,0.10185158252716064,0.7256262302398682
59,none,ReLU,MeanSquaredError,50,b -> 50 -> b,d -> 50 -> b,tanh,tanh,tanh,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,816483.8008928571,689262.5669642857,1035457.2589285715,408529.5625,344886.34375,518203.78125,407953.875,344375.71875,517253.09375,0.3338553309440613,0.03607336804270744,0.49665430188179016,406776.71875,342401.25,508340.84375,31.97115135192871,30.697710037231445,33.26216125488281,17492.466796875,16240.869140625,19315.677734375,0.549159824848175,0.5382436513900757,0.5724499225616455,0.5184127688407898,0.45404064655303955,0.5401521325111389,1.5486592054367065,1.4534980058670044,1.6993160247802734,406201.15625,341892.9375,507397.6875,33.05213165283203,31.714088439941406,34.772972106933594,18849.052734375,17715.41796875,19790.208984375,0.5634123682975769,0.5545465350151062,0.5751205682754517,0.5054055452346802,0.45261114835739136,0.5247091054916382,1.5703833103179932,1.5038634538650513,1.6699901819229126,0.3328387141227722,0.034251220524311066,0.49610215425491333
60,none,ReLU,MeanSquaredError,100,b -> 512 -> 256 -> 100 -> 256 -> 512 -> b,d -> 32 -> 16 -> 100 -> 256 -> 512 -> b,tanh,tanh,tanh,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,697300.7491071429,573752.0401785715,883866.6339285715,348621.6875,286877.15625,441788.8125,348678.8125,286874.46875,442077.15625,0.32068708539009094,0.02257365919649601,0.6375012993812561,347109.09375,284894.5625,433170.78125,34.966068267822266,33.98574447631836,36.65723419189453,11888.349609375,9761.96484375,14589.66015625,0.5300717949867249,0.5267508625984192,0.5314809083938599,0.5648354887962341,0.550563395023346,0.5758590698242188,1.4467092752456665,1.3237802982330322,1.4881983995437622,347164.78125,284891.78125,433451.9375,35.011436462402344,33.98574447631836,36.87861633300781,11873.865234375,9760.4150390625,14589.66015625,0.5299698114395142,0.5267508625984192,0.5314790606498718,0.5652465224266052,0.5506059527397156,0.5758590698242188,1.4395701885223389,1.3237802982330322,1.4881983995437622,0.3203379511833191,0.02239234745502472,0.6359384059906006
61,none,ReLU,MeanSquaredError,100,b -> 256 -> 100 -> 256 -> b,d -> 16 -> 100 -> 256 -> b,tanh,tanh,tanh,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,744806.7999999998,616910.8035714285,945192.5267857143,372278.34375,308404.71875,472508.0,372527.875,308505.71875,472683.9375,0.517277181148529,0.3117300868034363,0.7432575821876526,370633.34375,306127.5,463249.46875,33.743534088134766,31.94449234008789,35.792510986328125,14405.59375,12807.5703125,16068.16796875,0.5288314819335938,0.5168842077255249,0.5423710346221924,0.5708731412887573,0.5501461029052734,0.6170307993888855,1.3744499683380127,1.3187888860702515,1.472643494606018,370878.8125,306224.875,463406.78125,34.2105598449707,33.252105712890625,36.05241012573242,14422.376953125,12755.1767578125,16461.37890625,0.5335410833358765,0.518467366695404,0.5433498620986938,0.5616047978401184,0.5517999529838562,0.5707670450210571,1.3591126203536987,1.290708065032959,1.4230598211288452,0.5160173177719116,0.31207364797592163,0.7425914406776428
62,none,ReLU,MeanSquaredError,100,b -> 100 -> b,d -> 100 -> b,tanh,tanh,tanh,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,801753.4571428571,675683.6607142857,1018502.4017857143,401055.34375,338286.78125,509677.9375,400697.6875,337396.21875,508823.9375,0.4740716814994812,0.1704874187707901,0.6645053029060364,399313.96875,335832.125,499891.5625,31.301721572875977,30.001604080200195,32.80900573730469,14818.7451171875,13321.6494140625,15951.076171875,0.5174741148948669,0.5053263306617737,0.5369898676872253,0.5839665532112122,0.5292283892631531,0.6136938333511353,1.3650646209716797,1.2839475870132446,1.4669852256774902,398959.46875,334944.3125,499055.6875,33.10785675048828,31.989452362060547,34.89312744140625,17375.994140625,16427.078125,18751.302734375,0.5485358238220215,0.5398899912834167,0.559991717338562,0.549536943435669,0.507287859916687,0.5668548941612244,1.4509479999542236,1.3923035860061646,1.5370303392410278,0.4731334149837494,0.16884130239486694,0.6638119220733643
63,none,ReLU,MeanSquaredError,10,b -> 512 -> 256 -> 10 -> 256 -> 512 -> b,d -> 32 -> 16 -> 10 -> 256 -> 512 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,56,542923.2839285715,271888.98660714284,790651.3080357143,264020.21875,12330.794921875,416062.4375,278843.40625,238575.984375,374572.53125,59.66008377075195,6.309775352478027,228.92880249023438,262159.5625,11922.6484375,408696.84375,33.3154296875,18.725831985473633,37.647064208984375,3020.05078125,2132.24658203125,3599.198486328125,0.7026118636131287,0.683295488357544,0.7216073870658875,0.5341606736183167,0.504398763179779,0.5991319417953491,4.177160263061523,4.0789031982421875,4.269097805023193,278061.6875,238435.421875,367961.53125,33.16425704956055,31.665132522583008,35.631961822509766,2935.09619140625,1623.9459228515625,4611.595703125,0.691440224647522,0.5164465308189392,0.7710992097854614,0.5458506345748901,0.4912989139556885,0.6897891759872437,4.085862159729004,2.4206111431121826,4.823358058929443,59.7807731628418,6.2756242752075195,229.49192810058594
64,none,ReLU,MeanSquaredError,10,b -> 256 -> 10 -> 256 -> b,d -> 16 -> 10 -> 256 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,572562.2486607142,285785.42633928574,829958.8482142857,288481.15625,6086.30078125,456724.15625,283965.5,237561.46875,373220.34375,115.61075592041016,14.347990989685059,472.0835876464844,286150.84375,5649.734375,447787.59375,30.518020629882812,15.11534595489502,35.60797882080078,7240.99462890625,3882.149169921875,11865.9541015625,0.5945717096328735,0.45404982566833496,0.7012191414833069,0.5918806791305542,0.49390172958374023,0.8412522673606873,2.873203754425049,1.7127280235290527,4.186736583709717,283151.65625,237774.890625,366572.09375,34.55133056640625,32.558143615722656,36.48664855957031,3281.38134765625,2147.113037109375,4109.07958984375,0.6946748495101929,0.6231717467308044,0.7218079566955566,0.5243900418281555,0.5047141909599304,0.557373046875,4.039095878601074,3.1939644813537598,4.297114849090576,115.80714416503906,14.320135116577148,473.0716857910156
65,none,ReLU,MeanSquaredError,10,b -> 10 -> b,d -> 10 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,347799.39330357144,301372.1941964286,410064.30803571426,23926.41796875,6075.87548828125,79856.3359375,322232.4375,268891.5,400251.3125,1640.5462646484375,577.0381469726562,2002.3079833984375,24362.75390625,6074.83642578125,81748.09375,17.925979614257812,14.850671768188477,21.579334259033203,5644.7177734375,4823.58935546875,6668.67724609375,0.5862647294998169,0.3775462508201599,0.6880860924720764,0.6607596278190613,0.5249258279800415,0.8223816752433777,3.1113057136535645,1.5461270809173584,3.7448458671569824,321158.5625,268045.8125,393127.1875,35.750221252441406,34.199989318847656,37.865760803222656,7474.84228515625,5905.0009765625,10511.1884765625,0.5657487511634827,0.5446043014526367,0.5739123821258545,0.5483585000038147,0.5213536620140076,0.5632292628288269,2.2713305950164795,2.016073703765869,2.552263021469116,1637.7802734375,573.0581665039062,1979.3515625
66,none,ReLU,MeanSquaredError,50,b -> 512 -> 256 -> 50 -> 256 -> 512 -> b,d -> 32 -> 16 -> 50 -> 256 -> 512 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,600030.240625,262154.1875,1062253.5982142857,262849.9375,5725.59130859375,531126.8125,337117.9375,235043.609375,531126.8125,62.358253479003906,0.0,185.6812286376953,261301.09375,5286.53125,521175.65625,27.724313735961914,14.138692855834961,34.45411682128906,1959.390625,55.17245101928711,5072.4521484375,0.7460972666740417,0.36273878812789917,0.9950436353683472,0.4039013385772705,0.0035294091794639826,0.8841599822044373,3.9107463359832764,1.4505720138549805,5.035593032836914,335748.5625,234817.171875,521175.65625,32.28948211669922,30.130722045898438,34.45411682128906,1917.415283203125,55.17245101928711,3799.4697265625,0.750836193561554,0.5571662187576294,0.9950436353683472,0.39353373646736145,0.0035294091794639826,0.6896951198577881,3.88379168510437,2.846658706665039,5.035593032836914,62.40027618408203,0.0,185.76864624023438
67,none,ReLU,MeanSquaredError,50,b -> 256 -> 50 -> 256 -> b,d -> 16 -> 50 -> 256 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,321782.0571428572,281682.58928571426,380887.8058035714,36645.9296875,4472.2607421875,79166.015625,284917.9375,232813.796875,370330.09375,218.1725616455078,145.177734375,296.4006042480469,37095.3984375,4000.61669921875,81051.1640625,19.151615142822266,13.672089576721191,22.16006851196289,5130.78857421875,2361.7490234375,8305.935546875,0.5582064390182495,0.4302847385406494,0.7744752168655396,0.7055479288101196,0.4903981685638428,0.8832986950874329,2.915933132171631,1.9686225652694702,4.865764141082764,283984.4375,232649.71875,363783.84375,33.70410919189453,32.045509338378906,35.166770935058594,2599.89892578125,1484.8837890625,3618.243408203125,0.7112000584602356,0.6667068004608154,0.7813302874565125,0.5208036303520203,0.4384808838367462,0.5674526691436768,4.099167823791504,3.8358776569366455,4.525422096252441,217.45205688476562,145.82896423339844,293.7369079589844
68,none,ReLU,MeanSquaredError,50,b -> 50 -> b,d -> 50 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,317878.0138392857,258777.78125,399820.2120535714,12268.4267578125,4035.548583984375,23903.568359375,304998.6875,253268.234375,393009.65625,610.9338989257812,544.4415283203125,691.9673461914062,12408.78515625,3566.183837890625,24203.86328125,16.547618865966797,12.818241119384766,19.129589080810547,3344.94677734375,2294.425048828125,4087.6611328125,0.5950770378112793,0.4010924994945526,0.7049547433853149,0.7123307585716248,0.5335087776184082,0.9031950235366821,3.2090213298797607,1.798058032989502,4.196009635925293,303844.34375,252431.484375,385965.4375,36.14188766479492,35.224609375,37.495113372802734,4566.6630859375,3447.97119140625,5373.45654296875,0.6135584115982056,0.5846318602561951,0.6322795748710632,0.5448629260063171,0.5313541293144226,0.5621657967567444,3.057724714279175,2.6375324726104736,3.3916103839874268,609.8619384765625,542.6005249023438,692.6546630859375
69,none,ReLU,MeanSquaredError,100,b -> 512 -> 256 -> 100 -> 256 -> 512 -> b,d -> 32 -> 16 -> 100 -> 256 -> 512 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,631273.4950892857,277028.40848214284,1062253.5982142857,283743.34375,5278.60107421875,531126.8125,347486.6875,249505.09375,531126.8125,43.4391975402832,0.0,138.34181213378906,282166.65625,4841.2509765625,521175.65625,27.2197322845459,13.86098575592041,34.45411682128906,6560.40234375,55.17245101928711,27655.681640625,0.8304214477539062,0.3846362829208374,0.9974754452705383,0.2751014828681946,-0.0012490522349253297,0.8901483416557312,5.133656978607178,1.663344144821167,9.08666706085205,346239.75,249921.125,521175.65625,33.68778610229492,32.39462661743164,34.4672737121582,1413.0467529296875,55.17245101928711,3548.35205078125,0.8379376530647278,0.6969780921936035,0.9950436353683472,0.3093796372413635,0.0035294091794639826,0.5339186191558838,4.67847204208374,4.061436176300049,5.035593032836914,43.18863296508789,0.0,137.09779357910156
70,none,ReLU,MeanSquaredError,100,b -> 256 -> 100 -> 256 -> b,d -> 16 -> 100 -> 256 -> b,relu,relu,relu,5,100,128,"lr=0.01,k=0.92",0.01,Adam,99,343555.003125,280405.94866071426,443928.65625,52777.6484375,4880.65478515625,71838.078125,290653.90625,248876.234375,373477.5625,123.4636001586914,71.26917266845703,176.01866149902344,53201.13671875,4419.63134765625,72193.203125,19.90798568725586,14.164201736450195,21.9273624420166,5601.205078125,2314.80908203125,8306.30859375,0.5539101958274841,0.4733041822910309,0.6518869400024414,0.7405112981796265,0.6675447821617126,0.8719968199729919,2.7335586547851562,2.207603693008423,3.4653563499450684,289848.25,249305.015625,366836.09375,33.719390869140625,31.908340454101562,35.25962829589844,2867.563720703125,2014.830322265625,4065.879638671875,0.6952325701713562,0.6723663806915283,0.7223009467124939,0.5425010919570923,0.5139034390449524,0.5602390170097351,4.096067905426025,3.9019532203674316,4.4219279289245605,123.21675872802734,70.86134338378906,176.21815490722656
