	new00	new01	new02	new03	new04	new05	new06	new07	new08	new09	new10	new11	new12	new13	new14	new15	new16	new17	new18	new19	new20	new21	new22	new23	new24	new25	new26	new27	new28	new29	new30	new31	new32	new33	new34	new35	new36	new37	new38	new39	new40	new41	new42	new43	new44	new45	new46	new47
112952	0.0007465592	0.00142972	0.00061318034	0.00028926562	0.00020833254	0.00029235138	0.000641591	0.0014288424	0.00060778065	0.0006344951	0.0014142115	0.000599819	0.0006082541	0.0010066248	0.00059230614	0.0005453363	0.00042742264	0.0005787309	0.00039498403	0.0003111754	0.0005494583	0.00036716452	0.00026722683	0.0005375719	0.00034154532	0.00027192413	0.00048343098	0.00029655825	0.00021625373	0.00034279638	0.00030825761	0.0003159027	0.0002761281	0.00023217479	0.00026470795	0.00024493053	0.00023774501	0.0003460268	0.00023589603	0.00023200773	0.0006071394	0.00023069218	0.00021196545	0.00038829015	0.00021914513	0.00017395848	0.00025401785	0.00015028988
760955	9.225886e-07	1.043899e-06	9.084804e-07	1.0006881e-06	1.03742e-06	1.023928e-06	9.128134e-07	1.0443867e-06	9.076426e-07	9.1187223e-07	1.053227e-06	9.064245e-07	9.080006e-07	1.0284324e-06	9.0539857e-07	9.050779e-07	9.5020255e-07	9.0405746e-07	9.4435853e-07	9.864666e-07	9.040557e-07	9.830101e-07	1.0717787e-06	8.92845e-07	9.4484847e-07	1.0958485e-06	8.9285305e-07	1.0200647e-06	1.0306635e-06	9.692654e-07	9.854666e-07	9.871056e-07	1.0314945e-06	1.0582652e-06	9.597699e-07	1.0964803e-06	1.049572e-06	9.584783e-07	1.1130375e-06	1.0691034e-06	9.16955e-07	1.123156e-06	1.1178521e-06	9.3507845e-07	1.1469529e-06	1.1980478e-06	9.871501e-07	1.2655729e-06
683649	1.2657292e-05	0.0021324465	1.0278339e-05	6.4812315e-07	1.5588125e-06	8.835915e-07	1.0294704e-05	0.0021080768	1.0278795e-05	1.0271289e-05	0.0018905882	1.02792255e-05	1.0237545e-05	2.8904671e-05	1.0262078e-05	9.479448e-06	5.549033e-06	1.0174673e-05	6.2578356e-06	4.3264185e-06	9.976935e-06	5.84868e-06	2.7535991e-06	1.2413711e-05	3.855976e-06	2.6169746e-06	8.956396e-06	1.0069181e-06	1.6077663e-06	1.2506736e-06	8.3530244e-07	1.8023916e-06	6.641905e-07	7.8201435e-07	1.4466533e-06	6.2797176e-07	8.3815195e-07	2.232892e-06	6.143501e-07	7.9689636e-07	4.8268803e-06	6.032341e-07	7.199138e-07	2.5952538e-06	5.728498e-07	7.1799593e-07	1.154025e-06	4.146764e-07
4337833	0.001508592	0.0008396288	0.0014342132	0.000630991	0.0006619255	0.0006377337	0.0014368143	0.0008381349	0.0014351694	0.0014338038	0.00083029066	0.001437067	0.0014334858	0.0013696968	0.0014391039	0.0014173466	0.0011818794	0.0014419156	0.0012112987	0.0010607605	0.0014312317	0.0010805663	0.0010958163	0.0013974096	0.00059782504	0.0010937081	0.0010124083	0.00065909186	0.00068854203	0.0007026233	0.00068336574	0.0009438113	0.0005925746	0.0006212656	0.0008944798	0.00053117477	0.0006430696	0.00082884665	0.0005148079	0.0006242484	0.00084818027	0.000504329	0.0005756952	0.00086881756	0.00047776196	0.000516388	0.0007473181	0.00029812148
146122	0.002665789	0.0029928968	0.0022170176	0.0017306524	0.0009661639	0.0015317108	0.00229047	0.0029915245	0.00220525	0.0022688326	0.0030022645	0.0021886905	0.002205058	0.0037925332	0.002173933	0.0020594187	0.0017296347	0.0021483435	0.0016540105	0.0014525525	0.0020844613	0.0014778391	0.0013942415	0.0020607298	0.0011116571	0.001392339	0.0016140622	0.0014887857	0.0010002032	0.0016728004	0.0017456474	0.0014924103	0.0015915722	0.0012628634	0.0015216187	0.001345363	0.00127446	0.001723144	0.0012854325	0.0012261868	0.0021635788	0.0012536112	0.0011195663	0.0019314009	0.0011867126	0.0009239248	0.0014939827	0.0007741622
590601	1.7128043e-06	8.042207e-07	1.6902723e-06	3.249704e-05	3.2848343e-06	3.281819e-05	1.7994918e-06	8.0545715e-07	1.6619568e-06	1.786071e-06	8.2907803e-07	1.61854e-06	1.67127e-06	1.3072377e-06	1.5771724e-06	1.4524518e-06	1.9055783e-06	1.5063322e-06	1.4240866e-06	1.8052164e-06	1.3875208e-06	1.6787026e-06	2.332812e-06	1.2186867e-06	8.285209e-06	2.3617922e-06	2.6173652e-06	2.8298015e-05	3.2193975e-06	2.045147e-05	2.1743876e-05	1.903567e-06	4.5277662e-05	2.3431365e-05	2.0541372e-06	6.0180515e-05	1.929909e-05	2.0542877e-06	6.4040716e-05	2.5582662e-05	1.4050116e-06	6.734192e-05	4.3391545e-05	1.8177864e-06	7.7868644e-05	6.423828e-05	3.7512307e-06	0.00018190705
588630	0.0011079918	0.0021302851	0.0009385637	0.00066650065	0.00038368683	0.0006074623	0.00096408796	0.002133268	0.0009348691	0.00095604855	0.0021486168	0.0009298523	0.00093476305	0.0016308487	0.00092563505	0.00089014886	0.0007697952	0.0009188224	0.0007469907	0.0006498432	0.0009020205	0.0006897311	0.00057720806	0.0008963605	0.00060551986	0.0005690017	0.0007622276	0.0005963628	0.000394722	0.0006867589	0.00066232623	0.00055311073	0.0006159072	0.0004525553	0.00054089434	0.0005319524	0.0004578178	0.0006252043	0.00051034417	0.00044752896	0.00085674814	0.0004991931	0.0004159566	0.00069693447	0.00047627505	0.000353379	0.00050695497	0.00033076043
255750	9.3965883e-07	1.0738484e-06	9.2481935e-07	1.0411684e-06	1.0245509e-06	1.0379746e-06	9.294208e-07	1.0745815e-06	9.2386244e-07	9.2851303e-07	1.0848458e-06	9.224854e-07	9.240497e-07	9.763643e-07	9.212638e-07	9.1728504e-07	9.347781e-07	9.196001e-07	9.455283e-07	9.785975e-07	9.211616e-07	9.921674e-07	1.0901476e-06	9.2324666e-07	9.2929196e-07	1.1248557e-06	9.1718124e-07	1.0251789e-06	1.0155045e-06	9.848118e-07	1.0141243e-06	9.808615e-07	1.0642297e-06	1.0578161e-06	9.575317e-07	1.1143424e-06	1.0465516e-06	9.684336e-07	1.1273869e-06	1.0641647e-06	9.154984e-07	1.136054e-06	1.111826e-06	9.485953e-07	1.158013e-06	1.1874113e-06	9.975146e-07	1.280926e-06
541155	0.0026252847	0.0032234427	0.0025546872	0.00072511047	0.00084726495	0.00073345745	0.0025785745	0.003236033	0.0025491756	0.0025735176	0.0033716615	0.002540129	0.0025504085	0.0030722488	0.0025303809	0.0024732233	0.0022917865	0.0025098897	0.0022174944	0.0019491244	0.0024641822	0.002272897	0.001550627	0.0024511456	0.000998371	0.0015303288	0.0019827958	0.0007789896	0.00088249816	0.00091082207	0.000794529	0.0013577112	0.00063443213	0.00058618176	0.0010489181	0.0005190642	0.0006321092	0.000666518	0.0004917602	0.0006238809	0.00045088635	0.0004765199	0.00058764574	0.00059932546	0.00044116977	0.0005750172	0.0006786163	0.00025209837
736463	9.19723e-07	9.4521897e-07	9.188317e-07	1.0318804e-06	1.0562211e-06	1.0448243e-06	9.2449335e-07	9.4577973e-07	9.173008e-07	9.238643e-07	9.537926e-07	9.149287e-07	9.1787007e-07	9.561803e-07	9.126885e-07	9.0793685e-07	9.577966e-07	9.0921156e-07	9.4704075e-07	9.984051e-07	9.0758454e-07	1.0041405e-06	1.1108932e-06	8.985519e-07	9.669412e-07	1.1414413e-06	9.3203e-07	1.0392417e-06	1.0498785e-06	9.973189e-07	1.0158705e-06	1.0366209e-06	1.0559104e-06	1.0688349e-06	1.000927e-06	1.1070189e-06	1.0620696e-06	9.776268e-07	1.1194288e-06	1.0777288e-06	8.9576156e-07	1.1271584e-06	1.1170806e-06	9.4954834e-07	1.1455428e-06	1.1851057e-06	1.014066e-06	1.2279978e-06
