	RSE	RRSE
4439482	32.19002	5.673625
226240	1.0663725	1.0326531
303643	2.5493095	1.5966557
584598	247.0635	15.718254
772651	0.4061682	0.63731325
794280	4.947486	2.2242944
997544	12.165962	3.487974
824675	5.27867	2.2975357
1081815	96.559685	9.826479
819681	4.231281	2.0570078
544772	2.682569	1.637855
732609	181.58751	13.475441
236466	7.9220114	2.814607
100737	13.933534	3.732765
952082	97.99321	9.899152
568461	11.47115	3.3869088
723100	1.8959943	1.3769511
812105	6.504512	2.5503945
561452	0.8643253	0.92969096
945733	7.4652786	2.7322662
329490	6.067261	2.463181
620224	7.327119	2.706865
778795	1.4960084	1.2231143
1110836	2.11554	1.4544896
240506	17.24847	4.1531277
832619	103.05507	10.151605
139405	3.198383	1.7884024
1112326	5.814609	2.41135
778968	3.6168132	1.901792
1125248	8.900544	2.983378
137916	219.0728	14.801108
4401982	3.02937	1.7405086
750320	16.768946	4.0949903
185950	4.660181	2.1587453
917888	3.805089	1.9506637
256569	5.9587846	2.4410622
235541	1.6050719	1.2669144
937954	14.349328	3.7880507
78422	3.5397918	1.8814335
688259	33.233677	5.764866
237703	0.7046995	0.83946383
1640195	17.337313	4.16381
319944	17.641598	4.20019
554390	1.9031298	1.3795397
1044436	8.647747	2.9407053
1072787	415.7113	20.389
576653	4.988098	2.233405
570552	6.972571	2.6405625
1053194	2.3900158	1.5459676
674370	15.710045	3.96359
339660	3.4169188	1.848491
4300564	412.06638	20.299417
960076	7.936061	2.8171015
562311	28.982233	5.383515
2946783	8.430812	2.9035861
817349	8.607031	2.9337742
586320	7.1616497	2.6761258
546371	1.0432673	1.0214045
254392	19.16155	4.377391
216925	615.7108	24.81352
809189	4.168208	2.041619
792574	201.69247	14.201848
360823	15.8384285	3.9797523
137818	695.7494	26.377062
813938	237.42296	15.408535
811263	21.495173	4.6362886
208805	12.339242	3.5127258
2591424	6.1042337	2.4706748
824146	8.228327	2.868506
510547	1.7831267	1.3353376
1105574	16.398195	4.0494685
1108685	2.1285193	1.4589446
365415	3.338814	1.8272421
915948	317.7542	17.82566
1098922	1.2070991	1.0986806
4316013	4.284427	2.0698857
814232	309.18857	17.58376
769643	697.9184	26.418146
130710	13.800925	3.7149596
825183	5.1925745	2.278722
557467	3.4495041	1.8572841
550164	11.274876	3.357808
577068	9.5339	3.0877016
246952	52.20195	7.225092
281360	270.64334	16.45124
153239	37.02563	6.084869
1082846	581.6616	24.117662
11428	683.2197	26.138472
962736	5.539777	2.353673
18499	584.65875	24.179718
591358	2.4195666	1.5554956
238109	699.38135	26.44582
218116	24.885208	4.9885077
582391	42.82027	6.54372
556561	4.4914885	2.1193132
1109142	1.0498036	1.0245992
1108431	3.1640408	1.7787751
105113	5.3258805	2.307787
792868	92.98858	9.643059
107234	4.8894143	2.211202
209613	21.350126	4.62062
4302753	7.638206	2.7637305
1052930	19.059315	4.3656974
249068	3.2956147	1.8153828
237634	2.4157653	1.5542732
539496	7.1009417	2.6647592
1037355	43.105465	6.565475
586230	153.4955	12.38933
1121806	2.9334667	1.7127366
1088120	123.68479	11.1213665
965853	7.6831965	2.771858
835594	133.8302	11.5685005
510316	703.3813	26.521336
831179	16.324785	4.0403943
586031	1.4750544	1.2145182
547097	0.48930585	0.699504
931643	9.510161	3.083855
222183	133.5516	11.556453
341698	8.704712	2.9503748
896338	53.811817	7.335654
219243	2.6604018	1.6310738
1011958	15.148811	3.8921473
876170	101.41934	10.070717
883748	699.78705	26.45349
529793	2.4155653	1.5542089
769292	322.22733	17.950691
854368	6.5761695	2.5644042
648543	7.056802	2.656464
810679	698.9823	26.438272
269781	6.532701	2.5559149
788632	6.6049166	2.5700033
892000	24.67464	4.9673576
637184	305.93643	17.49104
1051517	3.7417994	1.9343731
1094453	2.357331	1.5353602
550219	0.6924194	0.83211744
818282	3.4507492	1.8576192
254401	16.611917	4.075772
546690	65.98791	8.123294
3723650	54.29721	7.3686643
1108726	15.956666	3.9945796
1102554	151.72403	12.317631
262768	5.2112703	2.2828207
966091	2.4119184	1.5530353
55354	1.9528176	1.3974324
515709	7.951115	2.8197722
902698	1.8579371	1.3630617
591499	67.12541	8.19301
569066	3.5432303	1.882347
823091	2.5946593	1.6107947
219094	70.81802	8.415344
961783	3.4401762	1.8547713
823633	0.6577383	0.81101066
