	sequentialTaxaID
586031	w679
547097	w680
931643	w681
222183	w682
341698	w683
896338	w684
219243	w685
1011958	w686
876170	w687
883748	w688
529793	w689
769292	w690
854368	w691
648543	w692
810679	w693
269781	w694
788632	w695
892000	w696
637184	w697
1051517	w698
1094453	w699
550219	w700
818282	w701
254401	w702
546690	w703
3723650	w704
1108726	w705
1102554	w706
262768	w707
966091	w708
55354	w709
515709	w710
902698	w711
591499	w712
569066	w713
823091	w714
219094	w715
961783	w716
823633	w717
