"otuids"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"571700"	"k__Bacteria"	"p__Chloroflexi"	"c__S085"	"o__"	NA	NA	NA
"112867"	"k__Bacteria"	"p__Chloroflexi"	"c__Ellin6529"	"o__"	NA	NA	NA
"237257"	"k__Bacteria"	"p__Chloroflexi"	"c__Anaerolineae"	"o__envOPS12"	NA	NA	NA
"819893"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__SC-I-84"	NA	NA	NA
"588703"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Desulfuromonadales"	NA	NA	NA
"783660"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	NA	NA	NA
"112949"	"k__Bacteria"	"p__Chloroflexi"	"c__TK10"	"o__AKYG885"	NA	NA	NA
"1081222"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	NA	NA	NA
"215825"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Ellin329"	NA	NA	NA
"223655"	"k__Bacteria"	"p__Planctomycetes"	"c__Phycisphaerae"	"o__WD2101"	NA	NA	NA
"357721"	"k__Bacteria"	"p__Elusimicrobia"	"c__Elusimicrobia"	"o__FAC88"	NA	NA	NA
"368218"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	NA	NA	NA
"225379"	"k__Bacteria"	"p__Acidobacteria"	"c__Sva0725"	"o__Sva0725"	NA	NA	NA
"1129425"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"100640"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__IS-44"	NA	NA	NA
"539866"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Thiotrichales"	NA	NA	NA
"532139"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__MND1"	NA	NA	NA
"254346"	"k__Bacteria"	"p__Actinobacteria"	"c__Rubrobacteria"	"o__Rubrobacterales"	NA	NA	NA
"4359497"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__Ellin5290"	NA	NA	NA
"113004"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__Gemmatimonadales"	NA	NA	NA
"1081489"	"k__Bacteria"	"p__Fibrobacteres"	"c__Fibrobacteria"	"o__258ds10"	NA	NA	NA
"539336"	"k__Bacteria"	"p__Acidobacteria"	"c__PAUC37f"	"o__"	NA	NA	NA
"226240"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Opitutae"	"o__Opitutales"	NA	NA	NA
"329490"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"778795"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__"	NA	NA	NA
"256569"	"k__Bacteria"	"p__Chlorobi"	"c__"	"o__"	NA	NA	NA
"235541"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	NA	NA	NA
"554390"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Bdellovibrionales"	NA	NA	NA
"339660"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	NA	NA	NA
"817349"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Acidithiobacillales"	NA	NA	NA
"824146"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	NA	NA	NA
"962736"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__HTCC2188"	NA	NA	NA
"591358"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	NA	NA	NA
"556561"	"k__Archaea"	"p__Crenarchaeota"	"c__Thaumarchaeota"	"o__Nitrososphaerales"	NA	NA	NA
"529793"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	NA	NA	NA
"550219"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	NA	NA	NA
"254401"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	NA	NA	NA
